//0703
常用,#genre#
KPL,https://akm-tct.douyucdn.cn/live/1863767rkpl.flv
李子柒,http://hls-ott-zhibo.wasu.tv/live/443/index.m3u8#https://akm-tct.douyucdn.cn/live/2901080rKO9WFA5y.flv
张大仙,https://al.flv.huya.com/src/1448640609-1448640609-6221864039312523264-1484215354-10057-A-0-1.flv?wsSecret=5f2f0cd0b834a053cde6fb1b441c448c&wsTime=62c2879f&fm=RFdxOEJjSjNoNkRKdDZUWV8kMF8kMV8kMl8kMw%3D%3D&ctype=tars_mobile&txyp=o%3Awx6%3B&fs=bgct&&sphdcdn=al_7-tx_3-js_3-ws_7-bd_2-hw_2&sphdDC=huya&sphd=264_*-265_*&t=103
经典小品,https://akm-tct.douyucdn.cn/live/9067836rz9twLJKL.flv
汽车测评,https://akm-tct.douyucdn.cn/live/9681172rRaQGqgG3.flv
漫展24h,https://akm-tct.douyucdn.cn/live/950686recyzy.flv#https://akm-tct.douyucdn.cn/live/427397rlD4hm6khI.flv
影视混剪,https://akm-tct.douyucdn.cn/live/9662856rD4ME5dEa.flv
女团演唱会,https://akm-tct.douyucdn.cn/live/10639903rJCDrGb2.flv#https://akm-tct.douyucdn.cn/live/340224rOmi88x7W4.flv
豆瓣高分,https://akm-tct.douyucdn.cn/live/8770422rqJpCY28G.flv#https://akm-tct.douyucdn.cn/live/2164691rp5lgPOdf.flv
UHD杜比,https://akm-tct.douyucdn.cn/live/9249162rnAElu97i.flv
漫威轮播,https://akm-tct.douyucdn.cn/live/6140589rzhKD9tmB.flv
大片解说,https://akm-tct.douyucdn.cn/live/2758565rtsTuCu11.flv#https://akm-tct.douyucdn.cn/live/8869614rOtiBjAYF.flv#https://akm-tct.douyucdn.cn/live/4258555r3isvDdlq.flv
FashionTV,https://fashiontv-fashiontv-4-de.samsung.wurl.com/manifest/playlist_1920x1080_4200k.m3u8#https://fashiontv-fashiontv-2-es.samsung.wurl.com/manifest/playlist.m3u8#https://fashs043.cloudycdn.services/scte/sftv_adapt/sftv_1080p_chunklist.m3u8

国际资讯,#genre#
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
有线新闻,https://dm1133.kglink.xyz/live/03
CGTN,https://live.cgtn.com/1000/prog_index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225645/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225652/index.m3u8#http://117.148.179.174/PLTV/88888888/224/3221231592/index.m3u8
新加坡CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
TVBS新闻台,rtmp://219.80.97.35/sat/tv551

中央频道,#genre#
CCTV4K,https://p.ggiptv.com/v/4k.m3u8#http://ye23.win/iptv/4k.cctv.php#http://39.135.55.105:6610/PLTV/88888888/224/3221226998/index.m3u8?servicetype=1#http://liveop.cctv.cn/hls/4KHD/playlist.m3u8#http://iptv.tvfix.org/hls/cctv4k.m3u8
纯享4K,http://39.135.55.105:6610/PLTV/88888888/224/3221226825/index.m3u8?servicetype=1#http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
CCTV8K,http://117.148.179.157/PLTV/88888888/224/3221233448/index.m3u8
CCTV-1综合,http://111.20.33.70/PLTV/88888893/224/3221226231/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8
CCTV-2财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-3综艺,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8#http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-4国际,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5体育,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225648/index.m3u8
CCTV-5+赛事,http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8
CCTV-6电影,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8
CCTV-7军事,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8
CCTV-8电视剧,http://39.134.66.110/PLTV/88888888/224/3221225795/index.m3u8#http://140.207.241.3:8080/live/program/live/cctv8hd/4000000/mnf.m3u8
CCTV-9纪录,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8
CCTV-10科教,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8
CCTV-11戏曲,http://39.135.138.59:18890/TVOD/88888910/224/3221225628/index.m3u8
CCTV-12社会,http://39.134.66.110/PLTV/88888888/224/3221225669/index.m3u8
CCTV-13新闻,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-14少儿,http://39.134.66.110/PLTV/88888888/224/3221225674/index.m3u8
CCTV-15音乐,http://39.135.138.58:18890/PLTV/88888910/224/3221225641/index.m3u8#http://111.40.196.9/PLTV/88888888/224/3221225500/index.m3u8#http://117.148.179.169:80/PLTV/88888888/224/3221231693/1.m3u8
CCTV-16奥林,http://39.134.115.163:8080/PLTV/88888910/224/3221226230/index.m3u8
CCTV-17农业,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225909/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8

卫视频道,#genre#
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8#http://117.148.179.160/PLTV/88888888/224/3221231738/index.m3u8
湖南卫视,http://117.148.179.135/PLTV/88888888/224/3221230206/index.m3u8#http://117.148.179.148/PLTV/88888888/224/3221230824/index.m3u8
浙江卫视,http://117.148.179.140/PLTV/88888888/224/3221229352/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8
