晴天,#genre#
无线新闻台,mitv://ns2.hellotvvod.com:9906/407fb5d11fc44abb89db4bec2f361e1b
无线新闻台,mitv://ns2.hellotvvod.com:9906/7eaf6705207448c9b8ec68e98a4c27fb
now新闻台,mitv://ns2.hellotvvod.com:9906/f32572889a6141a5a0df234290b9f367
TVBS新闻台,mitv://ns2.hellotvvod.com:9906/eb34d9d496be4f55bcca117240668bf0
中天新闻台,mitv://ns2.hellotvvod.com:9906/5475913400524ada8cafe009c2f22fa5
Fox,mitv://ns2.hellotvvod.com:9906/cf5c08c63fc74fa9b5b63429ffe58016
CNN,mitv://ns2.hellotvvod.com:9906/1b0b57acb6874e0fb1965abdceb5c251

无线新闻,mitv://ns2.hellotvvod.com:9906/da0beb76f7a44170945d010a42ae669a
无线新闻,mitv://ns2.hellotvvod.com:9906/6a4879c67d754024a67b063f2f3d365c
Now新闻,mitv://ns2.hellotvvod.com:9906/7a7898681c3f48709f87e49bbfe399dc
TVBS新闻,vjms://23.237.115.18:8500:3502/live/cid=348
TVBS新闻,vjms://58.215.133.161:8500/live/cid=348
中天新闻,vjms://23.237.115.18:8500:3502/live/cid=407
中天新闻,vjms://58.215.133.161:8500/live/cid=407

凤凰资讯,http://61.219.170.95:18565/.m3u8
凤凰资讯,http://61.219.170.95:18565/http/192.168.1.9:8078/hls/20/80/phoenixif.m3u8
NHK世界,http://61.219.170.95:18525/http/192.168.1.9:8081/hls/62/804/ch06.m3u8
